id,name,geometry_type
716,Zimbabwe,Polygon
894,Zambia,Polygon
887,Yemen,MultiPolygon
704,Vietnam,MultiPolygon
862,Venezuela,MultiPolygon
336,Vatican,Polygon
548,Vanuatu,MultiPolygon
860,Uzbekistan,MultiPolygon
858,Uruguay,Polygon
583,Micronesia,MultiPolygon
584,Marshall Is.,MultiPolygon
580,N. Mariana Is.,MultiPolygon
850,U.S. Virgin Is.,MultiPolygon
316,Guam,Polygon
016,American Samoa,Polygon
630,Puerto Rico,MultiPolygon
840,United States of America,MultiPolygon
239,S. Geo. and the Is.,MultiPolygon
086,Br. Indian Ocean Ter.,Polygon
654,Saint Helena,MultiPolygon
612,Pitcairn Is.,Polygon
660,Anguilla,Polygon
238,Falkland Is.,MultiPolygon
136,Cayman Is.,MultiPolygon
060,Bermuda,Polygon
092,British Virgin Is.,MultiPolygon
796,Turks and Caicos Is.,MultiPolygon
500,Montserrat,Polygon
832,Jersey,Polygon
831,Guernsey,Polygon
833,Isle of Man,Polygon
826,United Kingdom,MultiPolygon
784,United Arab Emirates,MultiPolygon
804,Ukraine,MultiPolygon
800,Uganda,Polygon
795,Turkmenistan,MultiPolygon
792,Turkey,MultiPolygon
788,Tunisia,MultiPolygon
780,Trinidad and Tobago,MultiPolygon
776,Tonga,MultiPolygon
768,Togo,Polygon
626,Timor-Leste,MultiPolygon
764,Thailand,MultiPolygon
834,Tanzania,MultiPolygon
762,Tajikistan,MultiPolygon
158,Taiwan,MultiPolygon
760,Syria,Polygon
756,Switzerland,Polygon
752,Sweden,MultiPolygon
748,eSwatini,Polygon
740,Suriname,Polygon
728,S. Sudan,Polygon
729,Sudan,Polygon
144,Sri Lanka,MultiPolygon
724,Spain,MultiPolygon
410,South Korea,MultiPolygon
710,South Africa,MultiPolygon
706,Somalia,Polygon
N/A,Somaliland,Polygon
090,Solomon Is.,MultiPolygon
703,Slovakia,Polygon
705,Slovenia,Polygon
702,Singapore,Polygon
694,Sierra Leone,MultiPolygon
690,Seychelles,Polygon
688,Serbia,Polygon
686,Senegal,Polygon
682,Saudi Arabia,MultiPolygon
678,São Tomé and Principe,MultiPolygon
674,San Marino,Polygon
882,Samoa,MultiPolygon
670,St. Vin. and Gren.,MultiPolygon
662,Saint Lucia,Polygon
659,St. Kitts and Nevis,MultiPolygon
646,Rwanda,Polygon
643,Russia,MultiPolygon
642,Romania,Polygon
634,Qatar,Polygon
620,Portugal,MultiPolygon
616,Poland,Polygon
608,Philippines,MultiPolygon
604,Peru,Polygon
600,Paraguay,Polygon
598,Papua New Guinea,MultiPolygon
591,Panama,MultiPolygon
585,Palau,MultiPolygon
586,Pakistan,Polygon
512,Oman,MultiPolygon
578,Norway,MultiPolygon
408,North Korea,MultiPolygon
566,Nigeria,MultiPolygon
562,Niger,Polygon
558,Nicaragua,Polygon
554,New Zealand,MultiPolygon
570,Niue,Polygon
184,Cook Is.,Polygon
528,Netherlands,MultiPolygon
533,Aruba,Polygon
531,Curaçao,Polygon
524,Nepal,Polygon
520,Nauru,Polygon
516,Namibia,Polygon
508,Mozambique,Polygon
504,Morocco,Polygon
732,W. Sahara,Polygon
499,Montenegro,Polygon
496,Mongolia,Polygon
498,Moldova,Polygon
492,Monaco,Polygon
484,Mexico,MultiPolygon
480,Mauritius,Polygon
478,Mauritania,MultiPolygon
470,Malta,MultiPolygon
466,Mali,Polygon
462,Maldives,MultiPolygon
458,Malaysia,MultiPolygon
454,Malawi,MultiPolygon
450,Madagascar,MultiPolygon
807,Macedonia,Polygon
442,Luxembourg,Polygon
440,Lithuania,MultiPolygon
438,Liechtenstein,Polygon
434,Libya,Polygon
430,Liberia,Polygon
426,Lesotho,Polygon
422,Lebanon,Polygon
428,Latvia,Polygon
418,Laos,Polygon
417,Kyrgyzstan,Polygon
414,Kuwait,MultiPolygon
N/A,Kosovo,Polygon
296,Kiribati,MultiPolygon
404,Kenya,MultiPolygon
398,Kazakhstan,MultiPolygon
400,Jordan,Polygon
392,Japan,MultiPolygon
388,Jamaica,Polygon
380,Italy,MultiPolygon
376,Israel,Polygon
275,Palestine,MultiPolygon
372,Ireland,MultiPolygon
368,Iraq,Polygon
364,Iran,MultiPolygon
360,Indonesia,MultiPolygon
356,India,MultiPolygon
352,Iceland,Polygon
348,Hungary,Polygon
340,Honduras,MultiPolygon
332,Haiti,MultiPolygon
328,Guyana,Polygon
624,Guinea-Bissau,MultiPolygon
324,Guinea,Polygon
320,Guatemala,Polygon
308,Grenada,Polygon
300,Greece,MultiPolygon
288,Ghana,Polygon
276,Germany,MultiPolygon
268,Georgia,Polygon
270,Gambia,Polygon
266,Gabon,Polygon
250,France,MultiPolygon
666,St. Pierre and Miquelon,MultiPolygon
876,Wallis and Futuna Is.,MultiPolygon
663,St-Martin,Polygon
652,St-Barthélemy,Polygon
258,Fr. Polynesia,MultiPolygon
540,New Caledonia,MultiPolygon
260,Fr. S. Antarctic Lands,MultiPolygon
248,Åland,MultiPolygon
246,Finland,MultiPolygon
242,Fiji,MultiPolygon
231,Ethiopia,Polygon
233,Estonia,MultiPolygon
232,Eritrea,MultiPolygon
226,Eq. Guinea,MultiPolygon
222,El Salvador,Polygon
818,Egypt,Polygon
218,Ecuador,MultiPolygon
214,Dominican Rep.,Polygon
212,Dominica,Polygon
262,Djibouti,Polygon
304,Greenland,MultiPolygon
234,Faeroe Is.,MultiPolygon
208,Denmark,MultiPolygon
203,Czechia,Polygon
N/A,N. Cyprus,Polygon
196,Cyprus,Polygon
192,Cuba,MultiPolygon
191,Croatia,MultiPolygon
384,Côte d'Ivoire,MultiPolygon
188,Costa Rica,Polygon
180,Dem. Rep. Congo,Polygon
178,Congo,Polygon
174,Comoros,MultiPolygon
170,Colombia,MultiPolygon
156,China,MultiPolygon
446,Macao,Polygon
344,Hong Kong,MultiPolygon
152,Chile,MultiPolygon
148,Chad,Polygon
140,Central African Rep.,Polygon
132,Cabo Verde,MultiPolygon
124,Canada,MultiPolygon
120,Cameroon,Polygon
116,Cambodia,MultiPolygon
104,Myanmar,MultiPolygon
108,Burundi,Polygon
854,Burkina Faso,Polygon
100,Bulgaria,Polygon
096,Brunei,MultiPolygon
076,Brazil,MultiPolygon
072,Botswana,Polygon
070,Bosnia and Herz.,Polygon
068,Bolivia,Polygon
064,Bhutan,Polygon
204,Benin,Polygon
084,Belize,MultiPolygon
056,Belgium,Polygon
112,Belarus,Polygon
052,Barbados,Polygon
050,Bangladesh,MultiPolygon
048,Bahrain,Polygon
044,Bahamas,MultiPolygon
031,Azerbaijan,MultiPolygon
040,Austria,Polygon
036,Australia,MultiPolygon
N/A,Indian Ocean Ter.,MultiPolygon
334,Heard I. and McDonald Is.,Polygon
574,Norfolk Island,Polygon
036,Ashmore and Cartier Is.,Polygon
051,Armenia,MultiPolygon
032,Argentina,MultiPolygon
028,Antigua and Barb.,MultiPolygon
024,Angola,MultiPolygon
020,Andorra,Polygon
012,Algeria,Polygon
008,Albania,Polygon
004,Afghanistan,Polygon
N/A,Siachen Glacier,Polygon
010,Antarctica,MultiPolygon
534,Sint Maarten,Polygon
